set,cardNumber,name,category,status,compiledAbilities,effectAbilities,triggers,parserReview,effectText
EB01,EB01-001,Kouzuki Oden,leader,unimplemented,0,2,,yes,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn."
EB01,EB01-002,Izo,character,partial,1,2,onPlay,yes,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn."
EB01,EB01-003,Kid & Killer,character,unimplemented,0,1,,yes,"[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn."
EB01,EB01-004,Koza,character,unimplemented,0,1,,,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Give up to 1 of your opponent's Characters −3000 power during this turn.
EB01,EB01-005,Doma,character,unimplemented,0,1,,yes,Whitebeard Pirates Allies
EB01,EB01-006,Tony Tony.Chopper,character,partial,1,2,whenAttacking,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn."
EB01,EB01-007,Yamato,character,complete,1,1,activateMain,yes,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.
EB01,EB01-008,LittleOars Jr.,character,unimplemented,0,1,,yes,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 Event or Stage card from your hand instead."
EB01,EB01-009,Just Shut Up and Come with Us!!!!,event,unimplemented,0,1,,yes,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order."
EB01,EB01-010,There's No Way You Could Defeat Me!!,event,partial,1,2,trigger,yes,[Counter] K.O. up to 1 of your opponent's Characters with 6000 base power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 5000 base power or less.
EB01,EB01-011,Mini-Merry,stage,unimplemented,0,1,,yes,[Activate: Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck: Draw 1 card.
EB01,EB01-012,Cavendish,character,unimplemented,0,2,,yes,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active."
EB01,EB01-013,Kouzuki Hiyori,character,unimplemented,0,1,,yes,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card."
EB01,EB01-014,Sanji,character,complete,1,1,onEnterPlay,,[DON!! x1] [Your Turn] This Character gains +1000 power for every 3 of your rested DON!! cards.
EB01,EB01-015,Scratchmen Apoo,character,complete,1,1,onPlay,yes,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.
EB01,EB01-016,Bingoh,character,unimplemented,0,1,,yes,[Activate: Main] You may rest this Character: K.O. up to 1 of your opponent's rested Characters with a cost of 1 or less.
EB01,EB01-017,Blueno,character,keyword,0,0,,,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)"
EB01,EB01-018,Mountain God,character,unimplemented,0,1,,yes,Animal/Land of Wano
EB01,EB01-019,Off-White,event,unimplemented,0,1,,yes,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, look at 3 cards from the top of your deck; reveal up to 1 {Donquixote Pirates} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
EB01,EB01-020,Chambres,event,unimplemented,0,3,,yes,"[Main] If your Leader has the {Supernovas} type, return 1 of your Characters to the owner's hand, and play up to 1 Character card with a cost of 2 or less from your hand that is a different color than the returned Character. [Trigger] Activate this card's [Main] effect."
EB01,EB01-021,Hannyabal,leader,unimplemented,0,1,,yes,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.
EB01,EB01-022,Inazuma,character,unimplemented,0,1,,yes,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards."
EB01,EB01-023,Edward Weevil,character,unimplemented,0,1,,yes,The Seven Warlords of the Sea
EB01,EB01-024,Hamlet,character,unimplemented,0,1,,yes,"If you have 4 or less cards in your hand, all of your {SMILE} type Characters gain +1000 power."
EB01,EB01-025,Fourtricks,character,unimplemented,0,1,,yes,Animal Kingdom Pirates/SMILE
EB01,EB01-026,Prince Bellett,character,unimplemented,0,1,,yes,"[DON!! x1] [When Attacking] If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand."
EB01,EB01-027,Mr.1(Daz.Bonez),character,partial,1,2,onPlay,yes,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash.[On Play] Draw 2 cards and trash 1 card from your hand."
EB01,EB01-028,Gum-Gum Champion Rifle,event,unimplemented,0,2,,yes,"[Counter] If your Leader has the {Impel Down} type, up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, your opponent returns 1 of their active Characters to the owner's hand. [Trigger] Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck."
EB01,EB01-029,Sorry. I'm a Goner.,event,unimplemented,0,2,,yes,"[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck. [Trigger] Return up to 1 Character with a cost of 8 or less to the owner's hand."
EB01,EB01-030,Loguetown,stage,partial,1,2,activateMain,yes,[Activate: Main] You may place this card and 1 card from your hand at the bottom of your deck in any order: Draw 2 cards. [Trigger] Play this card.
EB01,EB01-031,Kalifa,character,unimplemented,0,1,,yes,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, add up to 2 Character cards with a cost of 4 or less from your trash to your hand."
EB01,EB01-032,Army Wolves,character,unimplemented,0,1,,yes,Animal/Impel Down
