set,cardNumber,name,category,timings,detectedOps,optional,conditional,parserReview,effectText
EB01,EB01-001,Kouzuki Oden,leader,custom|whenAttacking,modifyPower,,yes,yes,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn."
EB01,EB01-002,Izo,character,onPlay|onOpponentsAttack,giveDon+modifyPower+trash,yes,yes,yes,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn."
EB01,EB01-003,Kid & Killer,character,whenAttacking,modifyPower,,yes,yes,"[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn."
EB01,EB01-004,Koza,character,whenAttacking,modifyPower,yes,,,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Give up to 1 of your opponent's Characters −3000 power during this turn.
EB01,EB01-006,Tony Tony.Chopper,character,custom|whenAttacking,grantKeyword+modifyPower,,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn."
EB01,EB01-008,LittleOars Jr.,character,custom,trash,yes,yes,yes,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 Event or Stage card from your hand instead."
EB01,EB01-009,Just Shut Up and Come with Us!!!!,event,counter,lookTopDeck+playCard,,,yes,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order."
EB01,EB01-010,There's No Way You Could Defeat Me!!,event,counter|custom,ko,,,yes,[Counter] K.O. up to 1 of your opponent's Characters with 6000 base power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 5000 base power or less.
EB01,EB01-011,Mini-Merry,stage,activateMain,draw+rest,yes,,yes,[Activate: Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck: Draw 1 card.
EB01,EB01-012,Cavendish,character,onPlay|whenAttacking,(none),,,yes,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active."
EB01,EB01-013,Kouzuki Hiyori,character,activateMain,trash+playCard+draw,yes,,yes,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card."
EB01,EB01-014,Sanji,character,custom,modifyPower,,,,[DON!! x1] [Your Turn] This Character gains +1000 power for every 3 of your rested DON!! cards.
EB01,EB01-016,Bingoh,character,activateMain,ko+rest,yes,,yes,[Activate: Main] You may rest this Character: K.O. up to 1 of your opponent's rested Characters with a cost of 1 or less.
EB01,EB01-019,Off-White,event,counter,modifyPower+lookTopDeck,,,yes,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, look at 3 cards from the top of your deck; reveal up to 1 {Donquixote Pirates} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order."
EB01,EB01-020,Chambres,event,activateMain|custom,returnToHand+playCard,,yes,yes,"[Main] If your Leader has the {Supernovas} type, return 1 of your Characters to the owner's hand, and play up to 1 Character card with a cost of 2 or less from your hand that is a different color than the returned Character. [Trigger] Activate this card's [Main] effect."
EB01,EB01-021,Hannyabal,leader,endOfYourTurn,donFromDeck+returnToHand,yes,,yes,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.
EB01,EB01-022,Inazuma,character,endOfYourTurn,draw,,yes,yes,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards."
EB01,EB01-024,Hamlet,character,custom,modifyPower,,yes,yes,"If you have 4 or less cards in your hand, all of your {SMILE} type Characters gain +1000 power."
EB01,EB01-026,Prince Bellett,character,whenAttacking,returnToHand,,yes,yes,"[DON!! x1] [When Attacking] If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand."
EB01,EB01-027,Mr.1(Daz.Bonez),character,custom|onPlay,modifyPower+trash+draw,,yes,yes,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash.[On Play] Draw 2 cards and trash 1 card from your hand."
EB01,EB01-028,Gum-Gum Champion Rifle,event,counter|custom,modifyPower+returnToHand,,yes,yes,"[Counter] If your Leader has the {Impel Down} type, up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, your opponent returns 1 of their active Characters to the owner's hand. [Trigger] Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck."
EB01,EB01-029,Sorry. I'm a Goner.,event,counter|custom,returnToHand,,yes,yes,"[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck. [Trigger] Return up to 1 Character with a cost of 8 or less to the owner's hand."
EB01,EB01-030,Loguetown,stage,activateMain|custom,draw+playCard,yes,,yes,[Activate: Main] You may place this card and 1 card from your hand at the bottom of your deck in any order: Draw 2 cards. [Trigger] Play this card.
EB01,EB01-031,Kalifa,character,onPlay,trash,,yes,yes,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, add up to 2 Character cards with a cost of 4 or less from your trash to your hand."
EB01,EB01-033,Blueno,character,onPlay,trash+playCard,,yes,yes,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, play up to 1 {Water Seven} type Character card with a cost of 5 other than [Blueno] from your hand or trash."
EB01,EB01-034,Ms. Wednesday,character,onOpponentsAttack,donFromDeck,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", add up to 1 DON!! card from your DON!! deck and set it as active."
EB01,EB01-035,Ms. Monday,character,onPlay|custom,modifyPower+playCard,,yes,yes,"[On Play] If your Leader's type includes ""Baroque Works"", up to 1 of your Leader or Character cards gains +1000 power during this turn. [Trigger] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card."
EB01,EB01-036,Minochihuahua,character,onKO,rest+donFromDeck,,yes,yes,"[Rush] (This card can attack on the turn in which it is played.)[On K.O.] If your Leader has the {Impel Down} type, add up to 1 DON!! card from your DON!! deck and rest it."
EB01,EB01-037,Mr. 9,character,onOpponentsAttack,ko,,,yes,[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 2 or less.
EB01,EB01-038,Oh Come My Way,event,counter|custom,draw,,,yes,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", select 1 of your Characters. Change the attack target to the selected Character. [Trigger] DON!! −1: Draw 2 cards."
EB01,EB01-039,Conquerer of Three Worlds Ragnaraku,event,activateMain|custom,ko+donFromDeck,,,yes,[Main] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 8 or less. [Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.
EB01,EB01-040,Kyros,leader,activateMain,ko,yes,,yes,[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: K.O. up to 1 of your opponent's Characters with a cost of 0.
EB01,EB01-042,Scarlet,character,activateMain,trash+playCard+modifyCost,yes,,yes,"[Activate: Main] You may trash this Character: Play up to 1 {Dressrosa} type Character card with a cost of 3 or less other than [Scarlet] from your hand rested. Then, give up to 1 of your opponent's Characters −2 cost during this turn."
EB01,EB01-043,Spandine,character,onPlay,trash+playCard,yes,,yes,"[On Play] You may place 3 cards with a type including ""CP"" from your trash at the bottom of your deck in any order: Play up to 1 Character card with a type including ""CP"" and a cost of 4 or less other than [Spandine] from your trash rested."
EB01,EB01-044,Funkfreed,character,activateMain,modifyPower+rest,yes,,yes,[Activate: Main] You may rest this Character: Up to 1 of your [Spandam] Characters gains +3000 power during this turn.
EB01,EB01-046,Brook,character,onPlay|whenAttacking,modifyCost+ko,,,yes,"[On Play]/[When Attacking] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, K.O. up to 1 of your opponent's Characters with a cost of 0."
EB01,EB01-047,Laboon,character,custom,draw+trash,,,yes,"[Once Per Turn] When a Character is K.O.'d, draw 1 card and trash 1 card from your hand."
EB01,EB01-050,...I Want to Live!!,event,counter,trash+lifeChange,,yes,yes,"[Counter] If you have 30 or more cards in your trash, add up to 1 card from the top of your deck to the top of your Life cards."
EB01,EB01-051,Finger Pistol,event,activateMain|custom,ko+trash,yes,,yes,[Main] You may trash 2 cards from the top of your deck: K.O. up to 1 of your opponent's Characters with a cost of 5 or less. [Trigger] Activate this card's [Main] effect.
EB01,EB01-052,Viola,character,onPlay,(none),,,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Choose one:• Look at all of your opponent's Life cards and place them back in their Life area in any order.• Turn all of your Life cards face-down."
EB01,EB01-053,Gastino,character,onPlay|custom,modifyPower,,,yes,[On Play] Place up to 1 of your opponent's Characters with a cost of 3 or less at the top or bottom of your opponent's Life cards face-up. [Trigger] Give up to a total of 2 of your opponent's Leader or Character cards −3000 power during this turn.
EB01,EB01-054,Gan.Fall,character,onPlay,ko,,yes,yes,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If your opponent has 1 or less Life cards, K.O. up to 1 of your opponent's Characters with a cost of 3 or less."
EB01,EB01-056,Charlotte Flampe,character,onPlay,draw,yes,,,[On Play] You may add 1 card from the top or bottom of your Life cards to your hand: Draw 1 card.
EB01,EB01-057,Shirahoshi,character,custom,lifeChange,,,yes,"When this Character is K.O.'d by your opponent's effect, add up to 1 card from the top of your deck to the top of your Life cards.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)"
EB01,EB01-058,Mont Blanc Cricket,character,custom,modifyPower,,yes,yes,"[DON!! x1] [Your Turn] If you have 2 or less Life cards, this Character gains +2000 power."
EB01,EB01-059,Kingdom Come,event,activateMain|custom,ko+trash+lifeChange,,,yes,"[Main] K.O. up to 1 of your opponent's Characters. Then, trash cards from the top of your Life cards until you have 1 Life card. [Trigger] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards."
EB01,EB01-060,Did Someone Say...Kami?,event,activateMain|custom,trash+playCard+lifeChange+draw,,,yes,"[Main] Play up to 1 [Enel] with a cost of 7 or less from your hand or trash. Then, trash cards from the top of your Life cards until you have 1 Life card. [Trigger] Draw 2 cards and trash 1 card from your hand."
EB01,EB01-061,Mr.2.Bon.Kurei(Bentham),character,onPlay|whenAttacking,donFromDeck,,,yes,[On Play] Add up to 1 DON!! card from your DON!! deck and set it as active.[When Attacking] Select up to 1 of your opponent's Characters. This Character's base power becomes the same as the selected Character's power during this turn.
EB02,EB02-002,Sabo,character,activateMain,modifyPower+rest,yes,,yes,[Activate: Main] You may rest this Character: Up to 1 of your {Revolutionary Army} type Characters other than [Sabo] gains +2000 power during this turn.
EB02,EB02-003,Tony Tony.Chopper,character,custom|onPlay,modifyPower+giveDon,,yes,yes,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power.[On Play] If your Leader has the {Straw Hat Crew} type, give up to 1 rested DON!! card to your Leader or 1 of your Characters."
EB02,EB02-005,Fake Straw Hat Crew,character,custom,modifyPower,,,,[Your Turn] This Character gains +2000 power.[Opponent's Turn] Give this Character −2000 power.
EB02,EB02-006,Yamato,character,activateMain,giveDon+grantKeyword,,yes,yes,"[Activate: Main] [Once Per Turn] If your Leader has the {Land of Wano} type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn."
EB02,EB02-007,Cloven Rose Blizzard,event,activateMain|custom,modifyPower+ko,,,yes,"[Main] Up to a total of 3 of your Leader and Character cards gain +1000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 3000 power or less. [Trigger] K.O. up to 1 of your opponent's Characters with 4000 power or less."
EB02,EB02-008,The Peak,event,activateMain|custom,lookTopDeck,,,yes,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order. [Trigger] Activate this card's [Main] effect."
EB02,EB02-009,Thousand Sunny,stage,activateMain,rest,yes,,yes,[Activate: Main] You may rest this Stage: Give up to 1 of your currently given DON!! cards to 1 of your {Straw Hat Crew} type Characters.
EB02,EB02-010,Monkey.D.Luffy,leader,activateMain,modifyPower,,,yes,"[Activate: Main] [Once Per Turn] DON!! −2: If the only Characters on your field are {Straw Hat Crew} type Characters, set up to 2 of your DON!! cards as active. Then, this Leader gains +1000 power until the end of your opponent's next turn."
EB02,EB02-011,Arlong,character,onPlay,giveDon,,yes,yes,"[On Play] If your Leader has the {Fish-Man} or {East Blue} type, give up to 1 rested DON!! card to 1 of your Leader. Then, up to 1 of your opponent's Characters with a cost of 5 or less cannot be rested until the end of your opponent's next turn."
EB02,EB02-013,Carrot,character,onPlay,lookTopDeck+playCard,,yes,yes,"[On Play] If you have 3 or more DON!! cards on your field, look at 7 cards from the top of your deck; reveal up to 1 [Zou] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Zou] from your hand."
EB02,EB02-014,Sarfunkel,character,onPlay,playCard,,,yes,[On Play] Play up to 1 [Gaimon] from your hand.
EB02,EB02-015,Jewelry Bonney,character,onPlay,(none),,,yes,"[On Play] Up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase. Then, set up to 1 of your DON!! cards as active at the end of this turn."
EB02,EB02-016,Chopperman,character,custom|onPlay,playCard,,,yes,Also treat this card's name as [Tony Tony.Chopper] according to the rules.[On Play] Play up to 1 {Animal} type Character card with a cost of 3 or less from your hand.
EB02,EB02-018,Buggy,character,custom,rest,,,yes,"[On Play] If you have no other [Buggy] Characters, up to 1 of your Leader gains [Double Attack] during this turn. [Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less."
EB02,EB02-019,Roronoa Zoro,character,custom|onPlay,rest,,yes,yes,"If your opponent has 2 or more Characters, this Character can attack Characters on the turn in which it is played.[On Play] If your Leader has the {Straw Hat Crew} type, rest up to 1 of your opponent's Characters with a cost of 4 or less."
