set,cardNumber,name,category,bucket,capabilities,unmappedOps,reasons,effectText
EB01,EB01-001,Kouzuki Oden,leader,needsPrimitive,addPower,unrecognized,,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn."
EB01,EB01-002,Izo,character,expressible,giveDon+addPower+trashFromHand,,,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn."
EB01,EB01-004,Koza,character,expressible,addPower,,,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Give up to 1 of your opponent's Characters −3000 power during this turn.
EB01,EB01-009,Just Shut Up and Come with Us!!!!,event,needsPrimitive,searchTopDeck+playFromHand,unrecognized,,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order."
EB01,EB01-011,Mini-Merry,stage,expressible,draw+rest,,,[Activate: Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck: Draw 1 card.
EB01,EB01-012,Cavendish,character,needsPrimitive,,unrecognized,,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active."
EB01,EB01-020,Chambres,event,needsPrimitive,moveCards+playFromHand,unrecognized,,"[Main] If your Leader has the {Supernovas} type, return 1 of your Characters to the owner's hand, and play up to 1 Character card with a cost of 2 or less from your hand that is a different color than the returned Character. [Trigger] Activate this card's [Main] effect."
EB01,EB01-021,Hannyabal,leader,expressible,addDonFromDeck+moveCards,,,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.
EB01,EB01-029,Sorry. I'm a Goner.,event,needsPrimitive,moveCards,unrecognized,,"[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck. [Trigger] Return up to 1 Character with a cost of 8 or less to the owner's hand."
EB01,EB01-030,Loguetown,stage,expressible,draw+playFromHand,,,[Activate: Main] You may place this card and 1 card from your hand at the bottom of your deck in any order: Draw 2 cards. [Trigger] Play this card.
